CNES,CO_INE,CO_CBO,MICROAREA
0000418,,515215,
0000418,,322230,
3301990,,516220,
3301990,,516220,
3302024,,422105,
3505812,,516220,
3567826,,131210,
2802783,,411010,
2802783,,322605,
2802783,,411010,
0001546,,325115,
2802783,,325115,
0001546,,322205,
3301990,,516220,
3302032,,411010,
3505812,,411010,
3505812,,516220,
3505812,,516220,
3505812,,516220,
3567826,0000155608,515105,
3153568,,131210,
3302032,0000155292,515105,
3380300,,515140,
3380300,,422105,
3380300,0000155373,515105,
3380300,0000155373,515140,
3569322,,422105,
3569322,,411010,
3131521,0000155020,515105,
3153568,0000155160,515105,
3153568,0000155160,515105,
3301990,,516220,
3302032,0000155306,515140,
3445275,,411005,
3505812,,516220,
3569322,0000155616,515105,
3569322,0000155624,515105,
3006476,0000154938,515105,
3153568,0000155179,515105,
3302008,,411010,
3302032,0002400472,515105,
3445275,0000155438,515105,
3862836,0002401274,515105,
3006476,0000154946,515105,
3131572,,515140,
3153568,0000155187,515105,
3302008,,515140,
3445275,0000155446,515105,
3505812,,516220,
3569349,,411010,
3938301,,131210,
2802783,,422105,
2802783,,411010,
3131572,0000155039,515105,
3302040,,515305,
3445275,0000155446,515140,
3639827,,422105,
3639827,,131210,
3639827,,411010,
3639827,0000155659,515105,
3938301,,516220,
3007995,0000154954,515105,
3153584,0000155209,515140,
3470253,0000155454,515105,
2802783,,411010,
3007995,0000154962,515140,
3007995,0000154962,515140,
3153460,,422105,
6908268,,411010,
6946283,,422220,
6983502,,782320,
7168403,,411010,
7168403,,422335,
7958838,,325115,
7958838,,411010,
7168403,,411010,
7890370,,131210,
7890370,,411010,
7958838,,411010,
6983510,,782320,
7168403,,411010,
7415788,0001509012,515105,
7890370,,131210,
7890370,,515140,
7890370,,515140,
7890370,,515140,
7946651,0002344122,515105,
7958838,,351605,
6946283,,422220,
7168403,,411010,
7890370,,515140,
7890370,,515140,
7946651,0002417855,515105,
7958838,,422105,
6946283,,422335,
6946283,,422205,
6983227,,782320,
6983685,,782320,
6983685,,782320,
7563736,,515140,
7946651,0002417855,515105,
7958838,,411010,
7958838,,515110,
6908268,,411010,
6946283,,422205,
6983243,,782320,
7172877,,224140,
7415788,0002400820,515105,
7415788,0002400820,515105,
3703223,,422105,
2802783,,411010,
3301974,0001465201,515105,
3371328,0000155322,515105,
3562581,0000155543,515140,
3938301,,516220,
2802783,,322230,
2802783,,422105,
3153479,0000155101,515105,
3302016,,411010,
3371328,0002399806,515105,
3562638,,411010,
3037908,,131210,
3153479,0000155136,515105,
0000701,,322230,
0000477,,322205,
3302016,,516220,
3562638,0000155578,515105,
3703223,0000155683,515105,
3037908,0000154970,515105,
2802783,,322205,
3562638,0000155586,515105,
3703223,0000155705,515105,
3703223,0000155705,515105,
3131521,,515140,
3131521,,411010,
7563736,0001546112,515105,
7563736,0001546112,515105,
7890370,,515140,
6908268,,223905,
6946283,,422335,
7018371,,224140,
7018495,,224140,
7524501,,515105,
7524501,,411010,
7563736,0001556150,515105,
7958838,,411010,
6983332,,782320,
7018525,,224140,
7193971,,322125,
7193971,,411010,
7193971,,322125,
7524501,,411010,
7775504,,411010,
7958838,,411010,
6983340,,782320,
6983340,,782320,
7563736,0002426188,515105,
7571283,,324205,
7775504,,515140,
7890370,,515140,
0000426,,322205,
6983367,,782320,
7168403,,411010,
7168403,,411010,
7524501,0001539663,515105,
7818211,,214405,
7845367,,515140,
7845367,,515140,
7890370,,515140,
7958838,,411010,
6946283,,422205,
6946283,,422205,
6946283,,422205,
6946283,,411010,
7168403,,411010,
7168403,,411035,
7168403,,411010,
7524501,0001554891,515105,
7524501,0001554891,515105,
7845367,,131210,
7845367,0001591517,515105,
7168403,,422335,
7168403,,411010,
7168403,,411010,
7574185,,131210,
7845367,0001592343,515105,
